plate,density,duration,colony,settle_time,mod_x,mod_y,field_area,field_perc,mod_area,mod_perc
D7,16,95,7,20,41.0,39.7,3072.855,3.628368783,75.19009422,1.503801884
D7,16,95,15,23,76.5,48.0,228.888,0.2702666,49.63140607,0.992628121
D7,16,95,13,27,86.4,32.4,7750.869,9.152078806,146.8138599,2.936277197
D7,16,95,2,39,12.1,45.1,736.041,0.869103224,7.13265716,0.142653143
D10,8,100,5,2,64.5,39.1,25075.988,29.5248531,1008.082212,20.16164424
D10,8,100,2,6,10.1,30.1,14482.61,17.05204727,766.1662566,15.32332513
D10,8,100,8,6,78.8,10.2,14350.538,16.89654367,799.749184,15.99498368
D10,8,100,1,7,2.8,38.3,3172.418,3.735253638,159.890398,3.19780796
D10,8,100,6,8,80.7,36.7,10289.548,12.11507172,547.1342429,10.94268486
D10,8,100,3,12,7.8,23.2,8553.377,10.07087734,426.1762653,8.523525306
D10,8,100,7,12,71.2,21.6,6950.534,8.183665397,277.8764352,5.557528703
D10,8,100,4,19,5.7,20.3,1992.398,2.345879981,171.1837718,3.423675437
